reef_region,reef_species_id,reef_common_name,scientificName,match_key,reef_family_common,reef_family_scientific,reef_is_invertebrate
TWA,Species ID,Common Name,Scientific Name,scientific name,Common Name,Scientific Name,
TWA,0884,Acadian Redfish,Sebastes fasciatus,sebastes fasciatus,Scorpionfish,Scorpaenidae,
TWA,1130,African Oyster Blenny,Hypleurochilus aequipinnis,hypleurochilus aequipinnis,Blenny - Combtooth,Blenniidae,
TWA,0448,African Pompano,Alectis ciliaris,alectis ciliaris,Jack,Carangidae,
TWA,1135,Agujon Needlefish,Tylosurus acus,tylosurus acus,Needlefish,Belonidae,
TWA,0731,Alewife Herring,Alosa pseudoharengus,alosa pseudoharengus,Herring,Clupeidae,
TWA,0449,Almaco Jack,Seriola rivoliana,seriola rivoliana,Jack,Carangidae,
TWA,0712,American Eel,Anguilla rostrata,anguilla rostrata,Eel (Freshwater),Anguillidae,
TWA,0723,American Plaice,Hippoglossoides platessoides,hippoglossoides platessoides,Flounder (Right-Eye),Pleuronectidae,
TWA,0732,American Shad,Alosa sapidissima,alosa sapidissima,Herring,Clupeidae,
TWA,0528,Aquavina,Diplectrum radiale,diplectrum radiale,Seabass,Serranidae,
TWA,0714,Arctic Shanny,Stichaeus punctatus punctatus,stichaeus punctatus,Prickleback,Stichaeidae,
TWA,1100,Argentine Seabass,Acanthistius brasilianus,acanthistius brasilianus,Seabass,Serranidae,
TWA,0013,Arrow Blenny,Lucayablennius zingaro,lucayablennius zingaro,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,1076,Arrow Stargazer,Gillellus greyae,gillellus greyae,Sand Stargazers,Dactyloscopidae,
TWA,0616,Atlantic Bonito,Sarda sarda,sarda sarda,Mackerel,Scombridae,
TWA,0450,Atlantic Bumper,Chloroscombrus chrysurus,chloroscombrus chrysurus,Jack,Carangidae,
TWA,0702,Atlantic Cod,Gadus morhua,gadus morhua,Cod,Gadidae,
TWA,0710,Atlantic Croaker,Micropogonias undulatus,micropogonias undulatus,Drum,Sciaenidae,
TWA,1116,Atlantic Cutlassfish,Trichiurus lepturus,trichiurus lepturus,Cutlassfish,Trichiuridae,
TWA,0349,Atlantic Flashlight,Kryptophanaron alfredi,kryptophanaron alfredi,Flashlight,Anomalopidae,
TWA,0512,Atlantic Guitarfish,Rhinobatos lentiginosus,rhinobatos lentiginosus,Guitarfish,Rhinobatidae,
TWA,0763,Atlantic Hagfish,Myxine glutinosa,myxine glutinosa,Hagfish,Myxinidae,
TWA,0733,Atlantic Herring,Clupea harengus,clupea harengus,Herring,Clupeidae,
TWA,0451,Atlantic Leatherjack,Oligoplites saurus,oligoplites saurus,Jack,Carangidae,
TWA,0736,Atlantic Mackerel,Scomber scombrus,scomber scombrus,Mackerel,Scombridae,
TWA,1099,Atlantic Mangrove Blenny,Lupinoblennius vinctus,lupinoblennius vinctus,"Blenny - Pike, tube, and flag",Chaenopsidae,
TWA,0950,Atlantic Manta Ray,Mobula yarae,mobula yarae,Manta,Mobulidae,
TWA,0734,Atlantic Menhaden,Brevoortia tyrannus,brevoortia tyrannus,Herring,Clupeidae,
TWA,0844,Atlantic Midshipman,Porichthys plectrodon,porichthys plectrodon,Toadfish,Batrachoididae,
