scientificName,match_key,genus,commonName,description,bookPage,indexSection,category,subCategory,source
Aaptos pernucleata,aaptos pernucleata,Aaptos,,,42,SPONGES,plants,red-algae,scientific_index
Abralia veranyi,abralia veranyi,Abralia,gianteye squid,"Tentacles are almost as long as the body, which is small. Translucent fins end in a point. Distinctively large eye.",245,SPONGES,invertebrates,squids,epub_profile
Abudefduf saxatilis,abudefduf saxatilis,Abudefduf,sergeant major,Five black body bars tapering towards white abdomen. Bright yellow patch on upper body. Widely forked tail.,350,FISHES,fishes,damselfishes,epub_profile
Abudefduf taurus,abudefduf taurus,Abudefduf,night sergeant,Brownish body with five dark body bars. Long upper lip. Rounded tail lobes. Found on shallow rocky inshores.,351,FISHES,fishes,damselfishes,epub_profile
Acanthemblemaria aspera,acanthemblemaria aspera,Acanthemblemaria,roughhead blenny (female),Females are usually yellow with dark spots on gill cover and base of pectoral fin. Eyes are always bright orange.,303,FISHES,fishes,blennies,epub_profile
Acanthemblemaria chaplini,acanthemblemaria chaplini,Acanthemblemaria,Papillose blenny,Tan body with white and brown spots. Cirrus branches out in a single plane. Blunt papillae on head and snout.,303,FISHES,fishes,blennies,epub_profile
Acanthemblemaria maria,acanthemblemaria maria,Acanthemblemaria,secretary blenny,"White spots on head, white band behind eye. Many large spines. Cirrus with short branches. Orange patch over nape.",302,FISHES,fishes,blennies,epub_profile
Acanthemblemaria paula,acanthemblemaria paula,Acanthemblemaria,Dwarf Spinyhead blenny,The smallest member of this genus. Short spines and bushy cirrus. Dusky orange eyes. Found in shallows.,303,FISHES,fishes,blennies,epub_profile
Acanthemblemaria spinosa,acanthemblemaria spinosa,Acanthemblemaria,spinyhead blenny,"Oblique white bar behind eye. Many short spines, often “crewcut.” Single stalk cirrus may have short branches.",303,FISHES,fishes,blennies,epub_profile
Acanthochitona hemphilli,acanthochitona hemphilli,Acanthochitona,red glass-hair chiton,Orange-brown girdle almost covers the entire body. Tufts of short bristles extend from sides of each plate.,219,SPONGES,invertebrates,chitons,epub_profile
Acanthopleura granulata,acanthopleura granulata,Acanthopleura,Fuzzy chiton,"Brown plates, often encrusted. Girdle with wide dark bands and short bristles. Found close to the waterline.",219,SPONGES,invertebrates,chitons,epub_profile
Acanthostracion polygonius,acanthostracion polygonius,Acanthostracion,honeycomb cowfish (Juvenile),Deep orange to yellow with small black spots. Horns not present in smallest individuals and develop as they grow.,373,FISHES,fishes,cowfishes,epub_profile
Acanthostracion quadricornis,acanthostracion quadricornis,Acanthostracion,scrawled cowfish (variation),"At night or while resting, the skin darkens and the blue lines become brighter, breaking up their general outline.",373,FISHES,fishes,cowfishes,epub_profile
Acanthurus chirurgus,acanthurus chirurgus,Acanthurus,doctorfish,"A series of darker curved bars (may be faint) start behind pectoral fin, which is edged in a darker blue.",357,FISHES,fishes,surgeonfishes,epub_profile
Acanthurus coeruleus,acanthurus coeruleus,Acanthurus,blue tang (juvenile),Bright yellow circular body with bright blue margins on dorsal and anal fins. Gold iris circled in bright blue.,356,FISHES,fishes,surgeonfishes,epub_profile
