slug,commonName,scientificName,common_norm,common_tokens,match_key,source_url
almaco-jack.html,Almaco Jack,Seriola rivoliana,almaco jack,almaco jack,seriola rivoliana,https://www.snorkelstj.com/almaco-jack.html
apple-murex.html,Apple Murex,Chicoreus pomum,apple murex,apple murex,chicoreus pomum,https://www.snorkelstj.com/apple-murex.html
apricot-sidegill-slug.html,Apricot Sidegill Slug -,Berthellina quadridens,apricot sidegill slug,apricot sidegill slug,berthellina quadridens,https://www.snorkelstj.com/apricot-sidegill-slug.html
arrow-squid.html,Arrow Squid Juvenile,,arrow squid juvenile,arrow juvenile squid,,https://www.snorkelstj.com/arrow-squid.html
atlantic-thorny-oyster.html,Atlantic Thorny Oyster -,Spondylus americanus,atlantic thorny oyster,atlantic oyster thorny,spondylus americanus,https://www.snorkelstj.com/atlantic-thorny-oyster.html
atlantic-wing-oyster.html,Atlantic Wing Oyster,Pteria colymbus,atlantic wing oyster,atlantic oyster wing,pteria colymbus,https://www.snorkelstj.com/atlantic-wing-oyster.html
balloonfish.html,Balloonfish,Diodon holocanthus,balloonfish,balloonfish,diodon holocanthus,https://www.snorkelstj.com/balloonfish.html
ballyhoo.html,Ballyhoo-,Hemiramphus brasiliensis,ballyhoo,ballyhoo,hemiramphus brasiliensis,https://www.snorkelstj.com/ballyhoo.html
banded-butterflyfish.html,Banded Butterflyfish,Chaetodon striatus,banded butterflyfish,banded butterflyfish,chaetodon striatus,https://www.snorkelstj.com/banded-butterflyfish.html
banded-clinging-crab.html,Banded Clinging Crab,Mithrax cinctimanus,banded clinging crab,banded clinging crab,mithrax cinctimanus,https://www.snorkelstj.com/banded-clinging-crab.html
banded-coral-shrimp.html,Banded Coral Shrimp,Stenopus hispidus,banded coral shrimp,banded coral shrimp,stenopus hispidus,https://www.snorkelstj.com/banded-coral-shrimp.html
banded-jawfish.html,Banded Jawfish,Opistognathus macrognathus,banded jawfish,banded jawfish,opistognathus macrognathus,https://www.snorkelstj.com/banded-jawfish.html
bandtail-pufferfish.html,Bandtail Pufferfish,Sphoeroides spengleri,bandtail pufferfish,bandtail pufferfish,sphoeroides spengleri,https://www.snorkelstj.com/bandtail-pufferfish.html
bar-jack.html,Bar Jack,Caranx ruber,bar jack,bar jack,caranx ruber,https://www.snorkelstj.com/bar-jack.html
bareye-hermit-crab.html,Bareye Hermit Crab,Dardanus focosus,bareye hermit crab,bareye crab hermit,dardanus focosus,https://www.snorkelstj.com/bareye-hermit-crab.html
barfin-blenny.html,Barfin Blenny,Malacoctenus versicolor,barfin blenny,barfin blenny,malacoctenus versicolor,https://www.snorkelstj.com/barfin-blenny.html
barnacles.html,Barnacles- Cirripedia,,barnacles cirripedia,barnacles cirripedia,,https://www.snorkelstj.com/barnacles.html
barracuda.html,Great Barracuda,Sphyraena barracuda,great barracuda,barracuda great,sphyraena barracuda,https://www.snorkelstj.com/barracuda.html
barred-hamlet.html,Barred Hamlet,Hypoplectrus puella,barred hamlet,barred hamlet,hypoplectrus puella,https://www.snorkelstj.com/barred-hamlet.html
basket-star.html,Basket Star,Echeneis naucrates,basket star,basket star,echeneis naucrates,https://www.snorkelstj.com/basket-star.html
batwing-coral-crab.html,Batwing Coral Crab,Carpilius corallinus,batwing coral crab,batwing coral crab,carpilius corallinus,https://www.snorkelstj.com/batwing-coral-crab.html
beaded-anemone.html,Beaded Sea Anemone,Epicystis crucifer,beaded sea anemone,anemone beaded sea,epicystis crucifer,https://www.snorkelstj.com/beaded-anemone.html
